name,type,ra_deg,dec_deg,area_sqdeg,opacity,sequence,related_barnard
LDN0584,DrkN,284.1517,-2.2668,0.077,4,584,
LDN0585,DrkN,275.8811,2.0270,1.320,1,585,
LDN0586,DrkN,279.7657,0.0457,0.034,3,586,
LDN0587,DrkN,279.8907,0.0463,0.093,5,587,
LDN0588,DrkN,279.0181,-0.4579,0.034,6,588,
LDN0589,DrkN,283.1478,-1.4382,1.680,2,589,
LDN0590,DrkN,286.6550,-3.0051,10.000,2,590,326
LDN0591,DrkN,279.1447,-0.7906,0.330,3,591,
LDN0592,DrkN,277.1311,2.0330,0.011,4,592,
LDN0593,DrkN,279.8939,-0.6204,0.462,3,593,
LDN0594,DrkN,285.1492,-1.7621,0.005,3,594,
LDN0595,DrkN,296.4234,-7.3776,0.052,3,595,
LDN0596,DrkN,282.0399,0.2232,0.061,4,596,
LDN0597,DrkN,282.6906,0.0763,0.018,5,597,
LDN0598,DrkN,281.6875,0.7215,0.001,5,598,
LDN0599,DrkN,282.8903,0.1439,0.022,4,599,
LDN0601,DrkN,281.6871,0.8049,0.001,5,600,
LDN0600,DrkN,277.6270,2.8688,0.029,4,601,
LDN0602,DrkN,282.8913,-0.0727,0.003,4,602,
LDN0603,DrkN,281.5867,0.8877,0.004,6,603,
LDN0604,DrkN,282.8899,0.2273,0.152,5,604,
LDN0605,DrkN,281.6867,0.8882,0.002,5,605,
LDN0606,DrkN,282.8918,-0.1894,0.002,4,606,
LDN0607,DrkN,282.0192,-0.6936,0.147,2,607,
LDN0608,DrkN,282.8930,-0.4394,0.004,4,608,
LDN0609,DrkN,282.8934,-0.5227,0.003,4,609,
LDN0610,DrkN,282.3950,-0.8584,0.129,2,610,
LDN0611,DrkN,283.9172,-0.2679,0.015,5,611,
LDN0612,DrkN,283.9930,-0.4342,0.003,4,612,
LDN0614,DrkN,284.1926,-0.3499,0.032,4,613,
LDN0613,DrkN,284.1926,-0.3499,0.007,5,614,
LDN0615,DrkN,289.9005,-2.0734,1.350,3,615,
LDN0616,DrkN,281.8811,2.0558,2.390,2,616,
LDN0618,DrkN,288.8967,-1.2447,0.018,3,617,137
LDN0617,DrkN,284.3859,1.0677,0.745,5,618,
LDN0619,DrkN,289.5227,-1.4585,0.016,5,619,139
LDN0620,DrkN,290.1463,-1.1556,0.018,3,620,
LDN0621,DrkN,281.8756,3.2225,45.000,3,621,
LDN0622,DrkN,287.8925,-0.3326,0.297,3,622,
LDN0623,DrkN,298.6619,-4.8679,3.190,3,623,
LDN0624,DrkN,286.3836,1.5770,0.486,1,624,
LDN0625,DrkN,286.6336,1.5782,0.002,3,625,
LDN0626,DrkN,286.6332,1.6615,0.003,3,626,
LDN0627,DrkN,288.5121,0.8369,2.990,2,627,138
LDN0628,DrkN,284.6248,3.4355,2.000,4,628,
LDN0629,DrkN,289.3860,1.0909,0.392,3,629,
LDN0630,DrkN,279.7368,6.0456,0.301,1,630,
LDN0631,DrkN,288.1290,2.5852,0.020,2,631,329
LDN0632,DrkN,290.1337,1.5944,0.765,1,632,141
LDN0633,DrkN,280.2320,7.0480,0.075,2,633,
LDN0634,DrkN,280.3546,7.5486,0.059,2,634,
LDN0635,DrkN,287.3718,4.1317,0.001,5,635,
LDN0636,DrkN,286.6192,4.6615,0.220,5,636,
LDN0637,DrkN,280.3513,8.2153,0.030,3,637,
