hip,hr,ra_deg,dec_deg,mag,name,common_name_zh
6315,389,20.280929,28.737727,5.23,,奎宿十二
6333,,20.327167,-49.741286,6.75,,
6336,,20.35297,-50.936966,6.6,,
6371,,20.466488,50.12197,6.54,,
6376,,20.493129,12.604143,6.97,,
6378,381,20.498096,76.238585,6.37,,
6427,394,20.626608,-19.081622,6.35,,
6432,392,20.65439,1.726046,6.21,,
6440,,20.679868,-36.596683,6.71,,
6441,,20.680901,4.738119,6.87,,
6451,,20.723641,11.366204,6.77,,右更增五
6477,,20.821878,-33.548048,6.8,,
6480,,20.825621,36.514526,6.8,,
6492,397,20.853916,20.468907,5.97,,
6502,400,20.878874,-30.94591,5.84,,
6507,,20.895401,-24.352736,6.66,,
6514,395,20.919894,37.714816,5.6,,奎宿增十七
6527,,20.962467,17.81808,6.59,,
6537,402,21.005349,-8.184578,3.6,,天仓三
6592,408,21.170088,-41.492784,5.42,,
6595,411,21.174553,-44.528698,6.26,,
6605,406,21.202907,-2.848769,6.17,,
6624,,21.25253,-5.946476,6.76,,
6631,420,21.272453,-64.369588,5.92,,
6649,,21.32968,16.256991,6.99,,
6669,407,21.398896,23.511377,6.18,,
6670,412,21.405427,-14.598906,4.9,,天仓增十五
6686,403,21.457794,60.234967,2.66,Ruchbah,阁道三
6687,,21.468574,-3.927559,6.5,,
6692,399,21.484712,68.130181,4.72,,华盖五
6706,413,21.563411,19.172411,5.35,,右更一
6711,409,21.578811,43.457352,5.98,,
6717,416,21.614269,-0.399159,6.42,,
6732,414,21.674004,19.240047,5.5,,右更增一
6736,,21.682342,27.24621,6.75,,
6748,421,21.714951,-13.056455,5.51,,天仓增十六
6751,419,21.723172,3.535533,6.59,,
6759,423,21.741991,-32.543396,6.57,,
6776,415,21.777614,34.377483,6.27,,
6791,,21.854908,-20.351659,6.89,,
6794,418,21.861221,41.101316,6.42,,
6797,,21.868087,-9.297354,6.86,,
6813,417,21.917339,45.405988,4.83,,天大将军增三
6819,,21.927807,31.965992,6.78,,
6822,425,21.945094,-10.901481,6.13,,
6823,422,21.945406,40.335747,6.59,,
6862,,22.080075,30.557303,6.9,,
6867,429,22.091204,-43.31956,3.41,,火鸟十
6868,426,22.096193,7.961298,6.22,,
6869,,22.102294,17.07904,6.6,,
6878,,22.143622,42.267055,6.66,,
6888,431,22.180954,-33.764186,6.59,,
6909,,22.239953,-17.937385,6.66,,
6939,,22.34851,25.275381,6.66,,
6952,435,22.377269,-46.756316,6.25,,
6960,433,22.400946,-21.629319,5.11,,𫓧锧一
6966,,22.421633,22.826089,6.77,,
6981,432,22.470662,18.355652,6.01,,
6984,,22.474089,-5.59598,6.69,,
6999,430,22.525433,47.007001,5.27,,天大将军四
7007,434,22.548198,6.143524,4.84,,外屏四
7016,436,22.59575,-26.207842,5.92,,
7050,428,22.718346,66.098015,6.15,,
7057,,22.745066,49.342868,6.84,,
7083,440,22.814283,-49.071716,3.93,,天园一
7097,437,22.871044,15.345803,3.62,Alpherg,右更二
7108,,22.891418,-19.023221,6.85,,
7115,443,22.912419,-45.57568,6.17,,
7147,438,23.031495,34.79993,6.39,,
7213,445,23.233551,-36.865362,5.49,,
7222,444,23.264844,-9.014619,6.6,,
7243,,23.326281,8.208536,6.31,,
7253,,23.359764,54.944859,6.92,,
7271,467,23.412222,-78.505696,6.11,,
7276,448,23.429625,-7.025861,5.75,,
7294,442,23.482283,59.231892,4.68,,阁道增四
7298,,23.498894,-62.476225,6.91,,
7321,446,23.569294,37.237013,5.9,,
7330,,23.597412,-28.236779,6.87,,
7339,,23.631857,68.948875,6.52,,
7357,,23.704943,0.943038,6.9,,
7358,,23.704725,20.17245,6.65,,
7359,450,23.704645,18.460091,5.9,,
7361,453,23.711077,-31.892588,6.11,,
7362,,23.713906,-3.524102,6.44,,
7363,,23.715054,-23.699599,6.41,,
7370,,23.741808,33.117005,6.74,,
7399,,23.850727,53.34556,6.86,,
7421,,23.90969,28.269644,6.89,,
7443,,23.960326,-39.947441,6.43,,
7450,459,23.995831,-15.400096,5.41,,天仓增十七
7463,462,24.036339,-29.907011,5.69,,
7513,458,24.197875,41.403026,4.1,Titawin,天大将军六
7535,463,24.274163,12.141599,5.54,,右更三
7557,449,24.343014,74.300936,6.58,,
7568,525,24.365749,-84.769649,5.66,,
7580,466,24.408717,-9.403073,6.24,,
7588,472,24.429567,-57.237013,0.45,Achernar,水委一
7593,,24.446639,64.739361,6.49,,
7601,512,24.487903,-82.974224,5.88,,
7607,464,24.498739,48.627494,3.59,Nembus,天大将军三
7610,,24.515972,-46.083727,6.97,,
7617,461,24.531565,57.977596,5.55,,
7625,,24.552539,62.351786,6.72,,
7632,,24.583126,2.586051,6.94,,
7649,,24.627801,-42.928026,6.67,,
7650,456,24.628564,73.039953,5.28,,华盖二
7658,,24.655545,21.398194,6.66,,
7676,474,24.708341,-25.022156,6.69,,
7679,473,24.716675,-21.275146,5.58,,
7710,,24.814926,14.285375,6.74,,右更五
7719,469,24.837327,44.386261,5.01,,天大将军五
7721,,24.839783,-33.564786,6.55,,
7740,475,24.920625,16.405785,5.98,,
7786,470,25.054413,53.868247,6.35,,
7819,,25.14597,8.760781,6.34,,
7832,,25.193218,-2.622195,6.74,,
7846,,25.221561,77.968932,6.73,,
7874,484,25.327402,25.745452,6.2,,
7884,489,25.357747,5.487636,4.45,,外屏五
7886,494,25.364247,-38.132465,6.2,,
7906,485,25.413426,30.047078,5.97,,
7911,501,25.421535,-50.038738,6.63,,
7916,492,25.437199,-11.327299,5.75,,
7918,483,25.453299,42.612218,4.96,,
7921,505,25.450033,-60.789599,5.7,,
7941,498,25.51224,-36.83241,5.7,,
7943,490,25.51493,35.245549,5.63,,
7955,497,25.535243,-32.327265,5.25,,
7956,,25.539331,66.79229,6.96,,
7965,478,25.586437,68.042952,5.57,,华盖六
7978,506,25.623952,-53.741516,5.52,,
7981,493,25.62195,20.264176,5.24,,娄宿增三
7983,,25.633673,-8.659366,6.99,,
7991,,25.654156,40.377339,6.71,,
7999,500,25.681218,-3.69042,4.98,,天仓增廿
8016,480,25.73424,70.622442,5.18,,杠八
8046,491,25.832482,60.551232,5.78,,阁道增五
8066,,25.91162,52.885759,6.76,,
8068,496,25.915399,50.688647,4.01,,天大将军二
8081,,25.945698,55.877354,6.94,,
8086,503,25.958889,32.192024,6.32,,
8094,507,25.978163,-4.765711,6.2,,
8102,509,26.005571,-15.932024,3.49,,天仓五
8127,504,26.110464,46.139489,6.32,,
8134,,26.149675,3.223631,6.73,,
8135,,26.153349,-34.406173,6.82,,
8148,502,26.192589,57.089238,6.25,,
8160,,26.239693,-28.727031,6.95,,
8198,510,26.34892,9.157985,4.26,Torcular,右更四
8209,514,26.412613,-25.053072,5.29,,
8230,513,26.49686,-5.733489,5.37,,
8233,517,26.505114,-27.349119,6.38,,
8241,520,26.527454,-53.521659,5.04,,
8296,,26.743338,-13.888655,6.7,,
